feature_set,path,kernel,bandwidth_factor,statistic,trajectory_template,row_count,association
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,seed-0|level-0|S0_full_support,36,0.1417344127284212
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,seed-0|level-1|S0_full_support,36,0.15549494390900562
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,seed-1|level-0|S0_full_support,36,0.18052947313757217
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,seed-1|level-1|S0_full_support,36,0.17596619576487602
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,seed-2|level-0|S0_full_support,36,0.12739893631353724
strict_source_G4_coordinates,strict_source,laplacian,0.5,centered_hsic,seed-2|level-1|S0_full_support,36,0.1410953603454217
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.030100854724242437
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.023393953904728145
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.011092891137998143
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.020055254109840964
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.040413936180734
strict_source_G4_coordinates,strict_source,laplacian,1.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.033311534850200705
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.12611781258244983
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.14715606962591407
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.1700425074303397
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.15239942655057065
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.09754352688146113
strict_source_G4_coordinates,strict_source,laplacian,1.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.11494912654598387
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.029264012638634304
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.02587683735023304
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.020616236977941457
