budget,endpoint,order,component,component_code,mean_marginal_gain
8,bAcc,N->G->E->S->U,finite_label_noise,N,0.16259081516817422
8,bAcc,N->G->U->E->S,finite_label_noise,N,0.16259081516817422
8,bAcc,N->G->U->S->E,finite_label_noise,N,0.16259081516817422
8,bAcc,N->G->S->E->U,finite_label_noise,N,0.16259081516817422
8,bAcc,N->G->S->U->E,finite_label_noise,N,0.16259081516817422
8,bAcc,E->N->U->S->G,finite_label_noise,N,0.16732873843839155
8,bAcc,E->N->U->G->S,finite_label_noise,N,0.16732873843839155
8,bAcc,E->N->S->U->G,finite_label_noise,N,0.16732873843839155
8,bAcc,E->N->S->G->U,finite_label_noise,N,0.16732873843839155
8,bAcc,E->N->G->U->S,finite_label_noise,N,0.16732873843839155
8,bAcc,E->N->G->S->U,finite_label_noise,N,0.16732873843839155
8,bAcc,E->U->N->S->G,finite_label_noise,N,0.0
8,bAcc,E->U->N->G->S,finite_label_noise,N,0.0
8,bAcc,E->U->S->N->G,finite_label_noise,N,0.0
8,bAcc,E->U->S->G->N,finite_label_noise,N,0.0
8,bAcc,E->U->G->N->S,finite_label_noise,N,0.0
8,bAcc,E->U->G->S->N,finite_label_noise,N,0.0
8,bAcc,E->S->N->U->G,finite_label_noise,N,0.0
8,bAcc,E->S->N->G->U,finite_label_noise,N,0.0
8,bAcc,E->S->U->N->G,finite_label_noise,N,0.0
8,bAcc,E->S->U->G->N,finite_label_noise,N,0.0
8,bAcc,E->S->G->N->U,finite_label_noise,N,0.0
8,bAcc,E->S->G->U->N,finite_label_noise,N,0.0
8,bAcc,E->G->N->U->S,finite_label_noise,N,0.0
8,bAcc,E->G->N->S->U,finite_label_noise,N,0.0
8,bAcc,E->G->U->N->S,finite_label_noise,N,0.0
8,bAcc,E->G->U->S->N,finite_label_noise,N,0.0
8,bAcc,E->G->S->N->U,finite_label_noise,N,0.0
8,bAcc,E->G->S->U->N,finite_label_noise,N,0.0
8,bAcc,U->N->E->S->G,finite_label_noise,N,0.0
8,bAcc,U->N->E->G->S,finite_label_noise,N,0.0
8,bAcc,U->N->S->E->G,finite_label_noise,N,0.0
8,bAcc,U->N->S->G->E,finite_label_noise,N,0.0
8,bAcc,U->N->G->E->S,finite_label_noise,N,0.0
8,bAcc,U->N->G->S->E,finite_label_noise,N,0.0
8,bAcc,U->E->N->S->G,finite_label_noise,N,0.0
8,bAcc,U->E->N->G->S,finite_label_noise,N,0.0
8,bAcc,U->E->S->N->G,finite_label_noise,N,0.0
8,bAcc,U->E->S->G->N,finite_label_noise,N,0.0
8,bAcc,U->E->G->N->S,finite_label_noise,N,0.0
8,bAcc,U->E->G->S->N,finite_label_noise,N,0.0
8,bAcc,U->S->N->E->G,finite_label_noise,N,0.0
8,bAcc,U->S->N->G->E,finite_label_noise,N,0.0
8,bAcc,U->S->E->N->G,finite_label_noise,N,0.0
8,bAcc,U->S->E->G->N,finite_label_noise,N,0.0
8,bAcc,U->S->G->N->E,finite_label_noise,N,0.0
8,bAcc,U->S->G->E->N,finite_label_noise,N,0.0
8,bAcc,U->G->N->E->S,finite_label_noise,N,0.0
8,bAcc,U->G->N->S->E,finite_label_noise,N,0.0
8,bAcc,U->G->E->N->S,finite_label_noise,N,0.0
8,bAcc,U->G->E->S->N,finite_label_noise,N,0.0
8,bAcc,U->G->S->N->E,finite_label_noise,N,0.0
8,bAcc,U->G->S->E->N,finite_label_noise,N,0.0
8,bAcc,S->N->E->U->G,finite_label_noise,N,0.0
8,bAcc,S->N->E->G->U,finite_label_noise,N,0.0
8,bAcc,S->N->U->E->G,finite_label_noise,N,0.0
8,bAcc,S->N->U->G->E,finite_label_noise,N,0.0
8,bAcc,S->N->G->E->U,finite_label_noise,N,0.0
8,bAcc,S->N->G->U->E,finite_label_noise,N,0.0
8,bAcc,S->E->N->U->G,finite_label_noise,N,0.0
8,bAcc,S->E->N->G->U,finite_label_noise,N,0.0
8,bAcc,S->E->U->N->G,finite_label_noise,N,0.0
8,bAcc,S->E->U->G->N,finite_label_noise,N,0.0
8,bAcc,S->E->G->N->U,finite_label_noise,N,0.0
8,bAcc,S->E->G->U->N,finite_label_noise,N,0.0
8,bAcc,S->U->N->E->G,finite_label_noise,N,0.0
8,bAcc,S->U->N->G->E,finite_label_noise,N,0.0
8,bAcc,S->U->E->N->G,finite_label_noise,N,0.0
8,bAcc,S->U->E->G->N,finite_label_noise,N,0.0
8,bAcc,S->U->G->N->E,finite_label_noise,N,0.0
8,bAcc,S->U->G->E->N,finite_label_noise,N,0.0
8,bAcc,S->G->N->E->U,finite_label_noise,N,0.0
8,bAcc,S->G->N->U->E,finite_label_noise,N,0.0
8,bAcc,S->G->E->N->U,finite_label_noise,N,0.0
8,bAcc,S->G->E->U->N,finite_label_noise,N,0.0
8,bAcc,S->G->U->N->E,finite_label_noise,N,0.0
8,bAcc,S->G->U->E->N,finite_label_noise,N,0.0
8,bAcc,G->N->E->U->S,finite_label_noise,N,0.0
8,bAcc,G->N->E->S->U,finite_label_noise,N,0.0
8,bAcc,G->N->U->E->S,finite_label_noise,N,0.0
8,bAcc,G->N->U->S->E,finite_label_noise,N,0.0
8,bAcc,G->N->S->E->U,finite_label_noise,N,0.0
8,bAcc,G->N->S->U->E,finite_label_noise,N,0.0
8,bAcc,G->E->N->U->S,finite_label_noise,N,0.0
8,bAcc,G->E->N->S->U,finite_label_noise,N,0.0
8,bAcc,G->E->U->N->S,finite_label_noise,N,0.0
8,bAcc,G->E->U->S->N,finite_label_noise,N,0.0
8,bAcc,G->E->S->N->U,finite_label_noise,N,0.0
8,bAcc,G->E->S->U->N,finite_label_noise,N,0.0
8,bAcc,G->U->N->E->S,finite_label_noise,N,0.0
8,bAcc,G->U->N->S->E,finite_label_noise,N,0.0
8,bAcc,G->U->E->N->S,finite_label_noise,N,0.0
8,bAcc,G->U->E->S->N,finite_label_noise,N,0.0
8,bAcc,G->U->S->N->E,finite_label_noise,N,0.0
8,bAcc,G->U->S->E->N,finite_label_noise,N,0.0
8,bAcc,G->S->N->E->U,finite_label_noise,N,0.0
8,bAcc,G->S->N->U->E,finite_label_noise,N,0.0
8,bAcc,G->S->E->N->U,finite_label_noise,N,0.0
8,bAcc,G->S->E->U->N,finite_label_noise,N,0.0
8,bAcc,G->S->U->N->E,finite_label_noise,N,0.0
8,bAcc,G->S->U->E->N,finite_label_noise,N,0.0
8,bAcc,N->E->U->S->G,shared_target_calibration,S,-0.026557728025169966
8,bAcc,N->E->U->G->S,shared_target_calibration,S,0.0
8,bAcc,N->E->S->U->G,shared_target_calibration,S,-0.00686574645105214
8,bAcc,N->E->S->G->U,shared_target_calibration,S,-0.00686574645105214
8,bAcc,N->E->G->U->S,shared_target_calibration,S,0.0
8,bAcc,N->E->G->S->U,shared_target_calibration,S,0.0
8,bAcc,N->U->E->S->G,shared_target_calibration,S,-0.026557728025169966
8,bAcc,N->U->E->G->S,shared_target_calibration,S,0.0
8,bAcc,N->U->S->E->G,shared_target_calibration,S,-0.1111111111111111
8,bAcc,N->U->S->G->E,shared_target_calibration,S,-0.1111111111111111
8,bAcc,N->U->G->E->S,shared_target_calibration,S,0.0
8,bAcc,N->U->G->S->E,shared_target_calibration,S,0.0
8,bAcc,N->S->E->U->G,shared_target_calibration,S,-0.1111111111111111
8,bAcc,N->S->E->G->U,shared_target_calibration,S,-0.1111111111111111
8,bAcc,N->S->U->E->G,shared_target_calibration,S,-0.1111111111111111
8,bAcc,N->S->U->G->E,shared_target_calibration,S,-0.1111111111111111
