dataset,target_subject,method,n_source_seeds,bacc_q01,bacc_q05,bacc_q09,acc_q01,acc_q05,acc_q09,prevalence_sensitivity,endpoint_mean_bacc,worst_prevalence_bacc,prediction_disagreement_q01_vs_q05,prediction_disagreement_q09_vs_q05,endpoint_mean_prediction_disagreement
Lee2019_MI,14,spdim_bias,3,0.6466666666666666,0.6466666666666666,0.6533333333333333,0.6466666666666666,0.6466666666666666,0.6533333333333333,0.003333333333333355,0.6499999999999999,0.6466666666666666,0.06666666666666667,0.07333333333333335,0.07
Lee2019_MI,14,Joint-GEM,3,0.6533333333333333,0.6733333333333333,0.68,0.6533333333333333,0.6733333333333333,0.68,0.013333333333333364,0.6666666666666667,0.6533333333333333,0.09999999999999999,0.08666666666666667,0.09333333333333332
Lee2019_MI,14,FP-GEM,3,0.6666666666666666,0.6533333333333333,0.6666666666666666,0.6666666666666666,0.6533333333333333,0.6666666666666666,0.013333333333333308,0.6666666666666666,0.6666666666666666,0.09333333333333334,0.05333333333333334,0.07333333333333333
Lee2019_MI,15,source_only_tsmnet,3,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.0,0.5066666666666667,0.5066666666666667,0.0,0.0,0.0
Lee2019_MI,15,rct,3,0.5866666666666668,0.56,0.5866666666666668,0.5866666666666667,0.56,0.5866666666666668,0.026666666666666727,0.5866666666666668,0.5866666666666668,0.19999999999999998,0.18666666666666668,0.19333333333333333
Lee2019_MI,15,spdim_geodesic,3,0.5933333333333334,0.5466666666666667,0.5800000000000001,0.5933333333333334,0.5466666666666667,0.5800000000000001,0.03999999999999998,0.5866666666666667,0.5800000000000001,0.16666666666666666,0.24666666666666667,0.20666666666666667
Lee2019_MI,15,spdim_bias,3,0.5666666666666668,0.56,0.5666666666666668,0.5666666666666668,0.56,0.5666666666666668,0.00666666666666671,0.5666666666666668,0.5666666666666668,0.16666666666666666,0.21999999999999997,0.1933333333333333
Lee2019_MI,15,Joint-GEM,3,0.5266666666666667,0.5800000000000001,0.5533333333333333,0.5266666666666667,0.5800000000000001,0.5533333333333333,0.040000000000000036,0.54,0.5266666666666667,0.16,0.16,0.16
Lee2019_MI,15,FP-GEM,3,0.54,0.5666666666666668,0.5733333333333334,0.54,0.5666666666666668,0.5733333333333334,0.016666666666666663,0.5566666666666666,0.54,0.13333333333333333,0.18000000000000002,0.15666666666666668
Lee2019_MI,16,source_only_tsmnet,3,0.54,0.54,0.54,0.54,0.54,0.54,0.0,0.54,0.54,0.0,0.0,0.0
Lee2019_MI,16,rct,3,0.6133333333333334,0.64,0.6333333333333333,0.6133333333333334,0.64,0.6333333333333333,0.016666666666666663,0.6233333333333333,0.6133333333333334,0.06666666666666667,0.006666666666666667,0.03666666666666667
Lee2019_MI,16,spdim_geodesic,3,0.6333333333333333,0.6266666666666667,0.6133333333333334,0.6333333333333333,0.6266666666666666,0.6133333333333334,0.009999999999999953,0.6233333333333333,0.6133333333333334,0.06,0.013333333333333334,0.03666666666666667
Lee2019_MI,16,spdim_bias,3,0.6266666666666666,0.6466666666666666,0.6266666666666666,0.6266666666666666,0.6466666666666666,0.6266666666666666,0.020000000000000018,0.6266666666666666,0.6266666666666666,0.06,0.03333333333333333,0.04666666666666666
Lee2019_MI,16,Joint-GEM,3,0.64,0.6333333333333333,0.6333333333333333,0.64,0.6333333333333333,0.6333333333333333,0.003333333333333355,0.6366666666666667,0.6333333333333333,0.04666666666666667,0.013333333333333334,0.030000000000000002
Lee2019_MI,16,FP-GEM,3,0.6266666666666666,0.6266666666666666,0.6066666666666667,0.6266666666666666,0.6266666666666666,0.6066666666666667,0.009999999999999953,0.6166666666666667,0.6066666666666667,0.04,0.02,0.03
Lee2019_MI,17,source_only_tsmnet,3,0.5266666666666667,0.5266666666666667,0.5266666666666667,0.5266666666666667,0.5266666666666667,0.5266666666666667,0.0,0.5266666666666667,0.5266666666666667,0.0,0.0,0.0
Lee2019_MI,17,rct,3,0.64,0.6866666666666665,0.6599999999999999,0.64,0.6866666666666666,0.66,0.03666666666666657,0.6499999999999999,0.64,0.11333333333333333,0.09333333333333334,0.10333333333333333
Lee2019_MI,17,spdim_geodesic,3,0.6666666666666666,0.6866666666666665,0.66,0.6666666666666666,0.6866666666666665,0.66,0.023333333333333206,0.6633333333333333,0.66,0.11333333333333333,0.09333333333333334,0.10333333333333333
Lee2019_MI,17,spdim_bias,3,0.6533333333333333,0.6266666666666666,0.6733333333333333,0.6533333333333333,0.6266666666666666,0.6733333333333333,0.036666666666666736,0.6633333333333333,0.6533333333333333,0.08,0.08666666666666667,0.08333333333333334
Lee2019_MI,17,Joint-GEM,3,0.64,0.64,0.6466666666666666,0.64,0.64,0.6466666666666666,0.0033333333333332993,0.6433333333333333,0.64,0.06666666666666667,0.06,0.06333333333333332
Lee2019_MI,17,FP-GEM,3,0.6266666666666666,0.6266666666666668,0.6733333333333333,0.6266666666666666,0.6266666666666666,0.6733333333333333,0.023333333333333373,0.6499999999999999,0.6266666666666666,0.05333333333333334,0.12666666666666668,0.09000000000000001
Lee2019_MI,18,source_only_tsmnet,3,0.6,0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.0,0.0,0.0
Lee2019_MI,18,rct,3,0.8133333333333335,0.8533333333333334,0.6866666666666665,0.8133333333333334,0.8533333333333334,0.6866666666666665,0.10333333333333339,0.75,0.6866666666666665,0.16,0.22,0.19
Lee2019_MI,18,spdim_geodesic,3,0.8333333333333334,0.82,0.6866666666666665,0.8333333333333334,0.82,0.6866666666666665,0.07333333333333342,0.76,0.6866666666666665,0.18666666666666668,0.17333333333333334,0.18
Lee2019_MI,18,spdim_bias,3,0.8533333333333334,0.7799999999999999,0.6666666666666666,0.8533333333333334,0.7799999999999999,0.6666666666666666,0.09333333333333338,0.76,0.6666666666666666,0.15333333333333335,0.12666666666666668,0.14
Lee2019_MI,18,Joint-GEM,3,0.7533333333333333,0.7866666666666667,0.7333333333333334,0.7533333333333333,0.7866666666666666,0.7333333333333334,0.04333333333333339,0.7433333333333334,0.7333333333333334,0.11333333333333333,0.18666666666666668,0.15
Lee2019_MI,18,FP-GEM,3,0.7866666666666667,0.7933333333333333,0.7266666666666666,0.7866666666666667,0.7933333333333333,0.7266666666666666,0.03666666666666668,0.7566666666666666,0.7266666666666666,0.12666666666666668,0.20000000000000004,0.16333333333333336
Lee2019_MI,19,source_only_tsmnet,3,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0
Lee2019_MI,19,rct,3,0.6933333333333334,0.6866666666666665,0.6666666666666666,0.6933333333333334,0.6866666666666665,0.6666666666666666,0.013333333333333364,0.6799999999999999,0.6666666666666666,0.08666666666666667,0.11333333333333334,0.1
Lee2019_MI,19,spdim_geodesic,3,0.6866666666666665,0.68,0.6466666666666667,0.6866666666666666,0.68,0.6466666666666666,0.019999999999999907,0.6666666666666666,0.6466666666666667,0.12666666666666668,0.12666666666666668,0.12666666666666668
